Stock,MSE,Final Portfolio Value (RF),Final Portfolio Value (BH),Sharpe Ratio (RF),Sharpe Ratio (BH),Sortino Ratio (RF),Sortino Ratio (BH),Max Drawdown (RF),Max Drawdown (BH),Deflated Sharpe Ratio (RF),Deflated Sharpe Ratio (BH),Probabilistic Sharpe Ratio (RF),Probabilistic Sharpe Ratio (BH),Omega Ratio (RF),Omega Ratio (BH)
MRK,0.0010981671503976689,9890.12684242093,11106.637195249748,-0.01592869714083779,0.3823936330549219,-0.01555190930071354,0.4901788770235619,-0.21304169113179322,-0.16403431427595708,0.005214785167438677,0.008125958510346256,0.37518359836377513,0.9999999999999172,1.0098984812891763,1.0821720391160898
LLY,0.0025783318008916344,16786.61923052623,28368.116672279393,1.7246671547165473,2.3311891449682074,1.924682654830254,3.926320391376376,-0.10028570983193677,-0.1876144006716651,0.011712779088668567,0.018462940330887637,1.0,1.0,1.6425018674456362,1.565459638599381
BAC,0.0017902601841924817,15473.03366381327,12144.952079892333,1.4212842992579784,0.571149528743572,1.7063488158373339,0.8923083504068957,-0.15489853941613071,-0.2541077615026733,0.011647639474697772,0.011387337890653553,1.0,1.0,1.4006521418332938,1.1095981980729812
PEP,0.0007774670330003013,10238.982526560148,10283.677733269536,0.10342393524095314,0.12728516736613021,0.11713013448940184,0.18001737587875882,-0.16004783137291223,-0.1826220431630048,0.004543830043774521,0.005455616731701881,0.9803197986231363,0.9943341869462681,1.0390787995881228,1.033538016873965
PFE,0.0013602496519098655,9345.072979600363,7429.572023941905,-0.24999944811358465,-0.7408497097293345,-0.32427589702610576,-1.147976656196877,-0.20825684521702548,-0.3779942369242969,0.004034281419671279,0.003324335752934299,4.381446471985885e-07,1.4221818881343032e-39,0.9609494598364846,0.8872891525857738
COST,0.0007549127398316304,16115.43189482843,18887.183330740743,2.300476335758141,2.2293487026582834,3.1608353000899254,2.932485885407298,-0.05500822849031959,-0.10273809379084449,0.008097150514428072,0.011360673456063375,1.0,1.0,1.7051512033829028,1.4797346062824568
TMO,0.001240626714334419,11289.458801101082,11133.37123142754,0.4869646285166221,0.3797737715751511,0.6062702249021649,0.5758173966081661,-0.19625406124501088,-0.2692078950399273,0.0070901460009719156,0.008551178651568877,1.0,0.9999999999998822,1.1198540002327455,1.0747606461862087
DIS,0.0014935087975552763,8330.351423376509,9178.500742029799,-0.513301546688224,-0.11186796544417413,-0.44986219046399906,-0.15087702161474995,-0.26962767990639086,-0.2998297277234905,0.0038879794664959917,0.007535611313141919,2.741404005578667e-22,0.012953201007082416,0.8716697837911026,0.9864781822332361
CSCO,0.001045536372369208,9785.419892286694,11004.729733289403,-0.10762532850398537,0.35885422789277494,-0.07328698734650553,0.4193377667121128,-0.12469593386906337,-0.20164159315404967,0.0038580823271408527,0.007750489706717815,0.016031763900340466,0.9999999999981511,0.9908480378784784,1.0785003654831398
MCD,0.0007088367856896114,10959.009291960127,11594.450195238434,0.4553175932878107,0.6137956473301546,0.4733174212614068,0.9005256954068671,-0.15508500400741035,-0.17205035996511397,0.00513556042247252,0.007133517956926419,1.0,1.0,1.1325964199095826,1.1215936181795054
